Client: 0, nsmp=100, del=40000
Sample 32, client 1, delivery time: 16
Sample 33, client 1, delivery time: 25
Sample 34, client 1, delivery time: 24
Sample 35, client 1, delivery time: 23
Sample 36, client 1, delivery time: 21
Sample 37, client 1, delivery time: 20
Sample 38, client 1, delivery time: 18
Sample 39, client 1, delivery time: 16
Sample 40, client 1, delivery time: 21
Sample 41, client 1, delivery time: 19
Sample 42, client 1, delivery time: 16
Sample 43, client 1, delivery time: 19
Sample 44, client 1, delivery time: 80
Sample 45, client 1, delivery time: 27
Sample 46, client 1, delivery time: 19
Sample 47, client 1, delivery time: 22
Sample 48, client 1, delivery time: 19
Sample 49, client 1, delivery time: 166
Sample 50, client 1, delivery time: 21
Sample 51, client 1, delivery time: 24
Sample 52, client 1, delivery time: 20
Sample 17
Sample 27, client 2, delivery time: 16
Sample 28, client 2, delivery time: 16
Sample 29, client 2, delivery time: 16
Sample 30, client 2, delivery time: 18
Sample 31, client 2, delivery time: 20
Sample 32, client 2, delivery time: 24
Sample 33, client 2, delivery time: 29
Sample 34, client 2, delivery time: 20
Sample 35, client 2, delivery time: 18
Sample 36, client 2, delivery time: 24
Sample 37, client 2, delivery time: 22
Sample 38, client 2, delivery time: 21
Sample 39, client 2, delivery time: 17
Sample 40, client 2, delivery time: 23
Sample 41, client 2, delivery time: 17
Sample 42, client 2, delivery time: 17
Sample 43, client 2, delivery time: 88
Sample 44, client 2, delivery time: 19
Sample 45, client 2, delivery time: 25
Sample 46, client 2, delivery time: 16
Sample 47, client 2, delivery time: 18
Sample 48, client 2, delivery time: 17
Sample 49, client 2, delivery time: 78
Sample 50, client 2, delivery time: 19
Sample 51, client 2, delivery time: 29
Sample 52, client 2, delivery time: 16
Sample 5319
Sample 27, client 0, delivery time: 18
Sample 28, client 0, delivery time: 20
Sample 29, client 0, delivery time: 19
Sample 30, client 0, delivery time: 19
Sample 31, client 0, delivery time: 19
Sample 32, client 0, delivery time: 18
Sample 33, client 0, delivery time: 17
Sample 34, client 0, delivery time: 16
Sample 35, client 0, delivery time: 17
Sample 36, client 0, delivery time: 17
Sample 37, client 0, delivery time: 94
Sample 38, client 0, delivery time: 81
Sample 39, client 0, delivery time: 72
Sample 40, client 0, delivery time: 26
Sample 41, client 0, delivery time: 21
Sample 42, client 0, delivery time: 20
Sample 43, client 0, delivery time: 21
Sample 44, client 0, delivery time: 21
Sample 45, client 0, delivery time: 19
Sample 46, client 0, delivery time: 25
Sample 47, client 0, delivery time: 20
Sample 48, client 0, delivery time: 21
Sample 49, client 0, delivery time: 50
Sample 50, client 0, delivery time: 17
Sample 51, client 0, delivery time: 17
Sample 52, client 0, delivery time: 18
Sample 53, client 2, delivery time: 19
Sample 54, client 2, delivery time: 20
Sample 55, client 2, delivery time: 17
Sample 56, client 2, delivery time: 17
Sample 57, client 2, delivery time: 22
Sample 58, client 2, delivery time: 18
Sample 59, client 2, delivery time: 16
Sample 60, client 2, delivery time: 16
Sample 61, client 2, delivery time: 16
Sample 62, client 2, delivery time: 18
Sample 63, client 2, delivery time: 18
Sample 64, client 2, delivery time: 18
Sample 65, client 2, delivery time: 39
Sample 66, client 2, delivery time: 21
Sample 67, client 2, delivery time: 25
Sample 68, client 2, delivery time: 20
Sample 69, client 2, delivery time: 19
Sample 70, client 2, delivery time: 17
Sample 71, client 2, delivery time: 24
Sample 72, client 2, delivery time: 25
Sample 73, client 2, delivery time: 16
Sample 74, client 2, delivery time: 16
Sample 75, client 2, delivery time: 16
Sample 76, client 2, delivery time: 18
Sample 77, client 2, delivery time: 15
Sample 78, client 2, delivery time: 24
Sample 79, client 2, delivery time: 53, client 1, delivery time: 17
Sample 54, client 1, delivery time: 18
Sample 55, client 1, delivery time: 21
Sample 56, client 1, delivery time: 85
Sample 57, client 1, delivery time: 79
Sample 58, client 1, delivery time: 67
Sample 59, client 1, delivery time: 19
Sample 60, client 1, delivery time: 20
Sample 61, client 1, delivery time: 19
Sample 62, client 1, delivery time: 20
Sample 63, client 1, delivery time: 20
Sample 64, client 1, delivery time: 20
Sample 65, client 1, delivery time: 18
Sample 66, client 1, delivery time: 20
Sample 67, client 1, delivery time: 17
Sample 68, client 1, delivery time: 18
Sample 69, client 1, delivery time: 98
Sample 70, client 1, delivery time: 20
Sample 71, client 1, delivery time: 17
Sample 72, client 1, delivery time: 19
Sample 73, client 1, delivery time: 20
Sample 74, client 1, delivery time: 20
Sample 75, client 1, delivery time: 18
Sample 76, client 1, delivery time: 65
Sample 77, client 1, delivery time: 79
Sample 78, client 1, delivery time: 18
Sample 79, client , client 0, delivery time: 25
Sample 54, client 0, delivery time: 26
Sample 55, client 0, delivery time: 19
Sample 56, client 0, delivery time: 18
Sample 57, client 0, delivery time: 18
Sample 58, client 0, delivery time: 17
Sample 59, client 0, delivery time: 21
Sample 60, client 0, delivery time: 18
Sample 61, client 0, delivery time: 17
Sample 62, client 0, delivery time: 17
Sample 63, client 0, delivery time: 17
Sample 64, client 0, delivery time: 17
Sample 65, client 0, delivery time: 41
Sample 66, client 0, delivery time: 17
Sample 67, client 0, delivery time: 19
Sample 68, client 0, delivery time: 17
Sample 69, client 0, delivery time: 16
Sample 70, client 0, delivery time: 19
Sample 71, client 0, delivery time: 22
Sample 72, client 0, delivery time: 17
Sample 73, client 0, delivery time: 18
Sample 74, client 0, delivery time: 18
Sample 75, client 0, delivery time: 20
Sample 76, client 0, delivery time: 20
Sample 77, client 0, delivery time: 17
Sample 78, client 0, delivery time: 29
Sample 79, client 0, delivery time: 17
Sample 80, client 2, delivery time: 25
Sample 81, client 2, delivery time: 19
Sample 82, client 2, delivery time: 17
Sample 83, client 2, delivery time: 17
Sample 84, client 2, delivery time: 17
Sample 85, client 2, delivery time: 22
Sample 86, client 2, delivery time: 18
Sample 87, client 2, delivery time: 25
Sample 88, client 2, delivery time: 19
Sample 89, client 2, delivery time: 17
Sample 90, client 2, delivery time: 17
Sample 91, client 2, delivery time: 17
Sample 92, client 2, delivery time: 16
Sample 93, client 2, delivery time: 16
Sample 94, client 2, delivery time: 18
Sample 95, client 2, delivery time: 25
Sample 96, client 2, delivery time: 19
Sample 97, client 2, delivery time: 18
Sample 98, client 2, delivery time: 17
Sample 99, client 2, delivery time: 16
1, delivery time: 18
Sample 80, client 1, delivery time: 18
Sample 81, client 1, delivery time: 94
Sample 82, client 1, delivery time: 21
Sample 83, client 1, delivery time: 19
Sample 84, client 1, delivery time: 25
Sample 85, client 1, delivery time: 17
Sample 86, client 1, delivery time: 23
Sample 87, client 1, delivery time: 18
Sample 88, client 1, delivery time: 20
Sample 89, client 1, delivery time: 19
Sample 90, client 1, delivery time: 19
Sample 91, client 1, delivery time: 65
Sample 92, client 1, delivery time: 23
Sample 93, client 1, delivery time: 20
Sample 94, client 1, delivery time: 16
Sample 95, client 1, delivery time: 19
Sample 96, client 1, delivery time: 18
Sample 97, client 1, delivery time: 16
Sample 98, client 1, delivery time: 20
Sample 99, client 1, delivery time: 18
22
Sample 80, client 0, delivery time: 30
Sample 81, client 0, delivery time: 21
Sample 82, client 0, delivery time: 19
Sample 83, client 0, delivery time: 16
Sample 84, client 0, delivery time: 20
Sample 85, client 0, delivery time: 23
Sample 86, client 0, delivery time: 16
Sample 87, client 0, delivery time: 17
Sample 88, client 0, delivery time: 17
Sample 89, client 0, delivery time: 20
Sample 90, client 0, delivery time: 16
Sample 91, client 0, delivery time: 16
Sample 92, client 0, delivery time: 18
Sample 93, client 0, delivery time: 18
Sample 94, client 0, delivery time: 20
Sample 95, client 0, delivery time: 17
Sample 96, client 0, delivery time: 21
Sample 97, client 0, delivery time: 20
Sample 98, client 0, delivery time: 19
Sample 99, client 0, delivery time: 20
waiting for children
