Client: 1, nsmp=100, del=125000
Sample 31, client 2, delivery time: 192
Sample 32, client 2, delivery time: 108
Sample 33, client 2, delivery time: 168
Sample 34, client 2, delivery time: 132
Sample 35, client 2, delivery time: 139
Sample 36, client 2, delivery time: 127
Sample 37, client 2, delivery time: 123
Sample 38, client 2, delivery time: 114
Sample 39, client 2, delivery time: 214
Sample 40, client 2, delivery time: 124
Sample 41, client 2, delivery time: 148
Sample 42, client 2, delivery time: 167
Sample 43, client 2, delivery time: 184
Sample 44, client 2, delivery time: 82
Sample 45, client 2, delivery time: 124
Sample 46, client 2, delivery time: 113
Sample 47, client 2, delivery time: 142
Sample 48, client 2, delivery time: 131
Sample 49, client 2, delivery time: 171
Sample 50, client 2, delivery time: 116
Sample 51, client 2, delivery time: 128
Sample 52, client 2, delivery time: 129
Sample 53, client 2, delivery time: 116
Sample 54, client 2, delivery time: 172
Sample 55, client 2, delivery time: 138
Sample 56, client 2, delivery time: 471
Sample 57, client 2, delivery time: 114
Sample 58, client 2, delivery time: 97
Sample 59, client 2, delivery time: 134
Sample 60, client 2, delivery time: 124
Sample 61, client 2, delivery time: 166
Sample 62, client 2, delivery time: 149
Sample 63, client 2, delivery time: 186
Sample 64, client 2, delivery time: 99
Sample 65, client 2, delivery time: 187
Sample 66, client 2, delivery time: 118
Sample 67, client 2, delivery time: 126
Sample 68, client 2, delivery time: 134
Sample 69, client 2, delivery time: 123
Sample 70, client 2, delivery time: 210
Sample 71, client 2, delivery time: 155
Sample 72, client 2, delivery time: 102
Sample 73, client 2, delivery time: 195
Sample 74, client 2, delivery time: 164
Sample 75, client 2, delivery time: 100
Sample 76, client 2, delivery time: 109
Sample 77, client 2, delivery time: 170
Sample 78, client 2, delivery time: 481
Sample 79, client 2, delivery time: 140
Sample 80, client 2, delivery time: 152
Sample 81, client 2, delivery time: 70
Sample 82, client 2, delivery time: 155
Sample 83, client 2, delivery time: 157
Sample 84, client 2, delivery time: 146
Sample 85, client 2, delivery time: 167
Sample 86, client 2, delivery time: 263
Sample 87, client 2, delivery time: 148
Sample 88, client 2, delivery time: 142
Sample 89, client 2, delivery time: 99
Sample 90, client 2, delivery time: 128
Sample 91, client 2, delivery time: 199
Sample 92, client 2, delivery time: 173
Sample 93, client 2, delivery time: 125
Sample 94, client 2, delivery time: 142
Sample 95, client 2, delivery time: 155
Sample 96, client 2, delivery time: 185
Sample 97, client 2, delivery time: 153
Sample 98, client 2, delivery time: 139
Sample 99, client 2, delivery time: 141
Client: 0, nsmp=100, del=125000
Sample 0, client 0, delivery time: 113
Sample 1, client 0, delivery time: 13
Sample 2, client 0, delivery time: 1
Sample 3, client 0, delivery time: 7
Sample 4, client 0, delivery time: 2
Sample 5, client 0, delivery time: 1
Sample 6, client 0, delivery time: 1
Sample 7, client 0, delivery time: 1
Sample 8, client 0, delivery time: 4
Sample 9, client 0, delivery time: 3
Sample 10, client 0, delivery time: 1
Sample 11, client 0, delivery time: 1
Sample 12, client 0, delivery time: 1
Sample 13, client 0, delivery time: 2
Sample 14, client 0, delivery time: 1
Sample 15, client 0, delivery time: 2
Sample 16, client 0, delivery time: 1
Sample 17, client 0, delivery time: 2
Sample 18, client 0, delivery time: 3
Sample 19, client 0, delivery time: 8
Sample 20, client 0, delivery time: 0
Sample 21, client 0, delivery time: 1
Sample 22, client 0, delivery time: 1
Sample 23, client 0, delivery time: 6
Sample 24, client 0, delivery time: 20
Sample 25, client 0, delivery time: 1
Sample 26, client 0, delivery time: 1
Sample 27, client 0, delivery time: 10
Sample 28, client 0, delivery time: 1
Sample 29, client 0, delivery time: 5
Sample 30, client 0, delivery time: 3
Sample 31, client 0, delivery time: 4
Sample 32, client 0, delivery time: 17
Sample 33, client 0, delivery time: 11
Sample 34, client 0, delivery time: 1
Sample 35, client 0, delivery time: 2
Sample 36, client 0, delivery time: 1
Sample 37, client 0, delivery time: 3
Sample 38, client 0, delivery time: 1
Sample 39, client 0, delivery time: 1
Sample 40, client 0, delivery time: 7
Sample 41, client 0, delivery time: 1
Sample 42, client 0, delivery time: 4
Sample 43, client 0, delivery time: 2
Sample 44, client 0, delivery time: 1
Sample 45, client 0, delivery time: 2
Sample 46, client 0, delivery time: 3
Sample 47, client 0, delivery time: 3
Sample 48, client 0, delivery time: 3
Sample 49, client 0, delivery time: 77
Sample 50, client 0, delivery time: 3
Sample 51, client 0, delivery time: 2
Sample 52, client 0, delivery time: 14
Sample 53, client 0, delivery time: 1
Sample 54, client 0, delivery time: 2
Sample 55, client 0, delivery time: 2
Sample 56, client 0, delivery time: 1
Sample 57, client 0, delivery time: 1
Sample 58, client 0, delivery time: 2
Sample 59, client 0, delivery time: 1
Sample 60, client 0, delivery time: 2
Sample 61, client 0, delivery time: 2
Sample 62, client 0, delivery time: 1
Sample 63, client 0, delivery time: 19
Sample 64, client 0, delivery time: 1
Sample 65, client 0, delivery time: 1
Sample 66, client 0, delivery time: 2
Sample 67, client 0, delivery time: 1
Sample 68, client 0, delivery time: 0
Sample 69, client 0, delivery time: 6
Sample 70, client 0, delivery time: 1
Sample 71, client 0, delivery time: 1
Sample 72, client 0, delivery time: 2
Sample 73, client 0, delivery time: 9
Sample 74, client 0, delivery time: 1
Sample 75, client 0, delivery time: 1
Sample 76, client 0, delivery time: 18
Sample 77, client 0, delivery time: 1
Sample 78, client 0, delivery time: 2
Sample 79, client 0, delivery time: 1
Sample 80, client 0, delivery time: 2
Sample 81, client 0, delivery time: 355
Sample 82, client 0, delivery time: 2
Sample 83, client 0, delivery time: 2
Sample 84, client 0, delivery time: 4
Sample 85, client 0, delivery time: 2
Sample 86, client 0, delivery time: 3
Sample 87, client 0, delivery time: 1
Sample 88, client 0, delivery time: 2
Sample 89, client 0, delivery time: 4
Sample 90, client 0, delivery time: 5
Sample 91, client 0, delivery time: 9
Sample 92, client 0, delivery time: 2
Sample 93, client 0, delivery time: 11
Sample 94, client 0, delivery time: 1
Sample 95, client 0, delivery time: 14
Sample 96, client 0, delivery time: 1
Sample 97, client 0, delivery time: 1
Sample 98, client 0, delivery time: 2
Sample 99, client 0, delivery time: 1
waiting for children
