Client: 2, nsmp=100, del=125000
Sample 56, client 1, delivery time: 203
Sample 57, client 1, delivery time: 106
Sample 58, client 1, delivery time: 201
Sample 59, client 1, delivery time: 101
Sample 60, client 1, delivery time: 142
Sample 61, client 1, delivery time: 60
Sample 62, client 1, delivery time: 61
Sample 63, client 1, delivery time: 144
Sample 64, client 1, delivery time: 61
Sample 65, client 1, delivery time: 63
Sample 66, client 1, delivery time: 144
Sample 67, client 1, delivery time: 62
Sample 68, client 1, delivery time: 61
Sample 69, client 1, delivery time: 60
Sample 70, client 1, delivery time: 62
Sample 71, client 1, delivery time: 60
Sample 72, client 1, delivery time: 60
Sample 73, client 1, delivery time: 60
Sample 74, client 1, delivery time: 62
Sample 75, client 1, delivery time: 146
Sample 76, client 1, delivery time: 61
Sample 77, client 1, delivery time: 61Sample 52, client 2, delivery time: 107
Sample 53, client 2, delivery time: 106
Sample 54, client 2, delivery time: 106
Sample 55, client 2, delivery time: 105
Sample 56, client 2, delivery time: 145
Sample 57, client 2, delivery time: 63
Sample 58, client 2, delivery time: 143
Sample 59, client 2, delivery time: 59
Sample 60, client 2, delivery time: 201
Sample 61, client 2, delivery time: 103
Sample 62, client 2, delivery time: 105
Sample 63, client 2, delivery time: 204
Sample 64, client 2, delivery time: 104
Sample 65, client 2, delivery time: 106
Sample 66, client 2, delivery time: 203
Sample 67, client 2, delivery time: 105
Sample 68, client 2, delivery time: 105
Sample 69, client 2, delivery time: 104
Sample 70, client 2, delivery time: 104
Sample 71, client 2, delivery time: 103
Sample 72, client 2, delivery time: 104
Sample 73, client 2, delivery time: 103
Sample 74, client 2, delivery time: 106
Sample 75, client 2, delivery time: 206
Sample 76, client 2, delivery time: 104
Sample 77, client 2, delivery time: 
Sample 78, client 1, delivery time: 146
Sample 79, client 1, delivery time: 62
Sample 80, client 1, delivery time: 56
Sample 81, client 1, delivery time: 203
Sample 82, client 1, delivery time: 102
Sample 83, client 1, delivery time: 144
Sample 84, client 1, delivery time: 207
Sample 85, client 1, delivery time: 144
Sample 86, client 1, delivery time: 203
Sample 87, client 1, delivery time: 202
Sample 88, client 1, delivery time: 200
Sample 89, client 1, delivery time: 105
Sample 90, client 1, delivery time: 104
Sample 91, client 1, delivery time: 103
Sample 92, client 1, delivery time: 104
Sample 93, client 1, delivery time: 121
Sample 94, client 1, delivery time: 106
Sample 95, client 1, delivery time: 106
Sample 96, client 1, delivery time: 173
Sample 97, client 1, delivery time: 145
Sample 98, client 1, delivery time: 59
Sample 99, client 1, delivery time: 61
147
Sample 78, client 2, delivery time: 206
Sample 79, client 2, delivery time: 105
Sample 80, client 2, delivery time: 97
Sample 81, client 2, delivery time: 145
Sample 82, client 2, delivery time: 60
Sample 83, client 2, delivery time: 204
Sample 84, client 2, delivery time: 62
Sample 85, client 2, delivery time: 204
Sample 86, client 2, delivery time: 144
Sample 87, client 2, delivery time: 143
Sample 88, client 2, delivery time: 142
Sample 89, client 2, delivery time: 63
Sample 90, client 2, delivery time: 62
Sample 91, client 2, delivery time: 61
Sample 92, client 2, delivery time: 61
Sample 93, client 2, delivery time: 60
Sample 94, client 2, delivery time: 63
Sample 95, client 2, delivery time: 62
Sample 96, client 2, delivery time: 62
Sample 97, client 2, delivery time: 204
Sample 98, client 2, delivery time: 103
Sample 99, client 2, delivery time: 105

Sample 77, client 0, delivery time: 339
Sample 78, client 0, delivery time: 7299
Sample 79, client 0, delivery time: 13339
Sample 80, client 0, delivery time: 6604
Sample 81, client 0, delivery time: 245
Sample 82, client 0, delivery time: 1885
Sample 83, client 0, delivery time: 5135
Sample 84, client 0, delivery time: 1743
Sample 85, client 0, delivery time: 2181
Sample 86, client 0, delivery time: 3304
Sample 87, client 0, delivery time: 243
Sample 88, client 0, delivery time: 7596
Sample 89, client 0, delivery time: 6089
Sample 90, client 0, delivery time: 6042
Sample 91, client 0, delivery time: 260
Sample 92, client 0, delivery time: 262
Sample 93, client 0, delivery time: 286
Sample 94, client 0, delivery time: 290
Sample 95, client 0, delivery time: 230
Sample 96, client 0, delivery time: 218
Sample 97, client 0, delivery time: 3187
Sample 98, client 0, delivery time: 224
Sample 99, client 0, delivery time: 226
waiting for children
