Client: 2, nsmp=100, del=125000
Sample 55, client 2, delivery time: 238
Sample 56, client 2, delivery time: 137
Sample 57, client 2, delivery time: 236
Sample 58, client 2, delivery time: 138
Sample 59, client 2, delivery time: 196
Sample 60, client 2, delivery time: 3214
Sample 61, client 2, delivery time: 191
Sample 62, client 2, delivery time: 248
Sample 63, client 2, delivery time: 2201
Sample 64, client 2, delivery time: 3947
Sample 65, client 2, delivery time: 174
Sample 66, client 2, delivery time: 139
Sample 67, client 2, delivery time: 998
Sample 68, client 2, delivery time: 149
Sample 69, client 2, delivery time: 234
Sample 70, client 2, delivery time: 138
Sample 71, client 2, delivery time: 237
Sample 72, client 2, delivery time: 3308
Sample 73, client 2, delivery time: 170
Sample 74, client 2, delivery time: 135
Sample 75, client 2, delivery time: 995
Sample 76, client 2, delivery time: 1, delivery time: 138
Sample 52, client 1, delivery time: 139
Sample 53, client 1, delivery time: 196
Sample 54, client 1, delivery time: 198
Sample 55, client 1, delivery time: 136
Sample 56, client 1, delivery time: 235
Sample 57, client 1, delivery time: 139
Sample 58, client 1, delivery time: 195
Sample 59, client 1, delivery time: 236
Sample 60, client 1, delivery time: 130
Sample 61, client 1, delivery time: 2256
Sample 62, client 1, delivery time: 141
Sample 63, client 1, delivery time: 137
Sample 64, client 1, delivery time: 8721
Sample 65, client 1, delivery time: 2785
Sample 66, client 1, delivery time: 236
Sample 67, client 1, delivery time: 134
Sample 68, client 1, delivery time: 249
Sample 69, client 1, delivery time: 138
Sample 70, client 1, delivery time: 195
Sample 71, client 1, delivery time: 197
Sample 72, client 1, delivery time: 3251
Sample 73, client 1, delivery time: 57
Sample 74, client 1, delivery time: 194
Sample 75, client 1, delivery time: 2105
Sample 76, client 1, delivery time: 2188
Sample 77, client 1, delivery time: 2328
Sample 78, client 1, delivery time: 2914
Sample 79, client 1, delivery time: 237
Sample 80, client 1, delivery time: 242
Sample 81, client 1, delivery time: 132
Sample 82, client 1, delivery time: 150
Sample 83, client 1, delivery time: 133
Sample 84, client 1, delivery time: 150
Sample 85, client 1, delivery time: 3090
Sample 86, client 1, delivery time: 138
Sample 87, client 1, delivery time: 136
Sample 88, client 1, delivery time: 235
Sample 89, client 1, delivery time: 138
Sample 90, client 1, delivery time: 199
Sample 91, client 1, delivery time: 239
Sample 92, client 1, delivery time: 137
Sample 93, client 1, delivery time: 2159
Sample 94, client 1, delivery time: 197
Sample 95, client 1, delivery time: 16957
Sample 96, client 1, delivery time: 5823
Sample 97, client 1, delivery time: 2987
Sample 98, client 1, delivery time: 140
Sample 99, client 1, delivery time: 137
143
Sample 77, client 0, delivery time: 151
Sample 78, client 0, delivery time: 18686
Sample 79, client 0, delivery time: 6215
Sample 80, client 0, delivery time: 142
Sample 81, client 0, delivery time: 996
Sample 82, client 0, delivery time: 207
Sample 83, client 0, delivery time: 2099
Sample 84, client 0, delivery time: 208
Sample 85, client 0, delivery time: 2217
Sample 86, client 0, delivery time: 3208
Sample 87, client 0, delivery time: 234
Sample 88, client 0, delivery time: 137
Sample 89, client 0, delivery time: 235
Sample 90, client 0, delivery time: 136
Sample 91, client 0, delivery time: 198
Sample 92, client 0, delivery time: 215
Sample 93, client 0, delivery time: 2277
Sample 94, client 0, delivery time: 238
Sample 95, client 0, delivery time: 137
Sample 96, client 0, delivery time: 195
Sample 97, client 0, delivery time: 3138
Sample 98, client 0, delivery time: 197
Sample 99, client 0, delivery time: 194
2093
Sample 77, client 2, delivery time: 2214
Sample 78, client 2, delivery time: 161
Sample 79, client 2, delivery time: 195
Sample 80, client 2, delivery time: 201
Sample 81, client 2, delivery time: 2247
Sample 82, client 2, delivery time: 247
Sample 83, client 2, delivery time: 996
Sample 84, client 2, delivery time: 248
Sample 85, client 2, delivery time: 304
Sample 86, client 2, delivery time: 195
Sample 87, client 2, delivery time: 193
Sample 88, client 2, delivery time: 194
Sample 89, client 2, delivery time: 195
Sample 90, client 2, delivery time: 239
Sample 91, client 2, delivery time: 136
Sample 92, client 2, delivery time: 273
Sample 93, client 2, delivery time: 137
Sample 94, client 2, delivery time: 140
Sample 95, client 2, delivery time: 195
Sample 96, client 2, delivery time: 236
Sample 97, client 2, delivery time: 132
Sample 98, client 2, delivery time: 1019
Sample 99, client 2, delivery time: 5597
waiting for children
